Age,Attrition,Department,JobRole,JobLevel,OverTime,BusinessTravel,DistanceFromHome,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Engagement_Index,Engagement_Category,Burnout_Risk_Score,Burnout_Risk_Level,Satisfaction_Stability_Score,Workload_Stress_Indicator
53,0,Research & Development,Manager,5,No,Travel_Rarely,5,3,3,4,2,14,13,4,3.25,High,1,Medium,45.566894604818266,1
32,1,Research & Development,Research Scientist,1,Yes,Travel_Frequently,16,1,2,2,3,10,2,6,1.5,Low,1,Medium,45.566894604818266,3
42,0,Sales,Sales Executive,2,No,Travel_Rarely,8,2,3,4,3,9,7,4,3.0,High,0,Low,45.566894604818266,1
44,0,Research & Development,Healthcare Representative,3,No,Travel_Rarely,7,4,1,4,3,22,6,5,2.75,Moderate,0,Low,5.71909584179366,1
46,0,Sales,Manager,5,No,Travel_Rarely,2,1,2,4,2,2,2,2,2.5,Moderate,1,Medium,16.1129507192139,1
33,0,Research & Development,Laboratory Technician,1,No,Travel_Rarely,2,4,3,4,3,1,1,0,3.5,High,0,Low,61.50998205402495,1
44,0,Research & Development,Healthcare Representative,2,Yes,Travel_Rarely,10,4,4,4,4,4,2,1,3.75,High,1,Medium,100.0,2
30,0,Research & Development,Laboratory Technician,1,No,Travel_Rarely,9,3,4,1,3,10,0,1,2.5,Moderate,0,Low,16.1129507192139,1
39,1,Sales,Sales Representative,2,No,Travel_Rarely,5,4,4,3,4,1,0,0,3.5,High,0,Low,66.66666666666667,1
24,1,Research & Development,Research Scientist,1,Yes,Travel_Rarely,1,4,2,1,2,2,0,2,2.5,Moderate,2,High,16.1129507192139,2
43,0,Research & Development,Research Scientist,1,No,Travel_Rarely,2,3,4,4,2,5,3,1,3.75,High,1,Medium,36.17152614957746,1
50,1,Sales,Sales Representative,1,Yes,Travel_Rarely,3,3,1,3,3,3,2,0,2.25,Moderate,1,Medium,33.33333333333334,2
35,0,Sales,Sales Representative,1,No,Travel_Rarely,2,4,4,1,3,2,2,2,3.0,High,0,Low,5.71909584179366,1
36,0,Research & Development,Research Scientist,1,Yes,Travel_Rarely,5,1,2,4,4,1,1,0,2.25,Moderate,1,Medium,0.0,2
33,0,Sales,Sales Executive,2,No,Travel_Frequently,1,1,3,1,3,5,3,1,2.25,Moderate,0,Low,23.019964108049905,2
35,0,Research & Development,Laboratory Technician,1,No,Travel_Rarely,4,4,3,3,3,1,0,0,3.25,High,0,Low,66.66666666666667,1
27,0,Research & Development,Laboratory Technician,1,No,Travel_Rarely,2,1,4,4,3,1,0,0,3.0,High,0,Low,5.71909584179366,1
26,1,Research & Development,Laboratory Technician,1,No,Travel_Rarely,25,3,1,3,2,1,0,0,2.0,Moderate,1,Medium,36.17152614957746,1
27,0,Sales,Sales Executive,3,No,Travel_Frequently,8,3,4,4,3,9,8,1,3.5,High,0,Low,61.50998205402495,2
30,0,Research & Development,Laboratory Technician,2,No,Travel_Frequently,1,4,3,4,3,12,8,3,3.5,High,0,Low,61.50998205402495,2
41,1,Research & Development,Research Director,5,No,Travel_Rarely,12,3,2,4,3,22,15,15,3.0,High,0,Low,45.566894604818266,1
34,0,Sales,Sales Executive,2,No,Non-Travel,23,3,2,3,3,9,5,8,2.75,Moderate,0,Low,66.66666666666667,0
37,0,Research & Development,Research Scientist,1,No,Travel_Rarely,19,2,2,1,3,1,0,0,2.0,Moderate,0,Low,45.566894604818266,1
46,0,Sales,Sales Executive,2,Yes,Travel_Frequently,5,4,1,3,3,9,6,0,2.75,Moderate,1,Medium,16.1129507192139,3
35,0,Research & Development,Laboratory Technician,1,No,Travel_Rarely,8,4,4,4,3,1,0,0,4.0,High,0,Low,66.66666666666667,1
48,1,Research & Development,Laboratory Technician,3,Yes,Travel_Rarely,1,3,1,4,3,1,0,0,2.5,Moderate,1,Medium,16.1129507192139,2
28,1,Research & Development,Laboratory Technician,1,Yes,Travel_Rarely,5,3,3,3,2,2,2,2,3.0,High,2,High,66.66666666666667,2
44,0,Sales,Sales Executive,2,Yes,Travel_Rarely,1,1,2,3,2,4,3,1,2.25,Moderate,2,High,45.566894604818266,2
35,0,Research & Development,Healthcare Representative,3,Yes,Non-Travel,11,1,3,3,3,4,0,2,2.25,Moderate,1,Medium,33.33333333333334,1
26,0,Sales,Sales Executive,2,Yes,Travel_Rarely,23,4,3,3,2,2,2,0,3.0,High,2,High,45.566894604818266,2
33,0,Research & Development,Research Director,3,Yes,Travel_Frequently,1,4,1,3,3,15,14,8,2.75,Moderate,1,Medium,16.1129507192139,3
35,0,Sales,Sales Executive,3,No,Travel_Frequently,18,1,2,4,2,9,8,1,2.5,Moderate,1,Medium,16.1129507192139,2
35,0,Research & Development,Laboratory Technician,1,Yes,Travel_Rarely,23,1,3,3,3,2,2,2,2.5,Moderate,1,Medium,33.33333333333334,2
31,0,Research & Development,Laboratory Technician,2,No,Travel_Rarely,7,4,4,4,2,7,7,1,3.75,High,1,Medium,33.33333333333334,1
37,0,Research & Development,Manufacturing Director,2,No,Travel_Rarely,1,3,1,3,4,7,5,0,2.25,Moderate,0,Low,16.1129507192139,1
32,0,Research & Development,Manufacturing Director,2,Yes,Travel_Rarely,1,4,1,2,3,9,8,7,2.5,Moderate,1,Medium,13.93370341761296,2
38,0,Research & Development,Laboratory Technician,2,No,Travel_Frequently,29,4,4,4,3,10,3,9,3.75,High,0,Low,66.66666666666667,2
50,0,Research & Development,Research Director,5,Yes,Travel_Rarely,7,3,2,4,2,27,3,13,2.75,Moderate,2,High,36.17152614957746,2
59,0,Sales,Sales Executive,3,No,Travel_Rarely,25,1,1,4,2,21,16,7,2.25,Moderate,1,Medium,5.71909584179366,1
36,0,Research & Development,Healthcare Representative,3,No,Travel_Rarely,8,3,3,2,3,17,14,12,2.75,Moderate,0,Low,66.66666666666667,1
55,0,Research & Development,Manager,4,Yes,Travel_Rarely,8,3,4,3,3,5,0,0,3.25,High,1,Medium,66.66666666666667,2
36,0,Research & Development,Manufacturing Director,2,No,Travel_Frequently,11,2,2,3,3,6,5,0,2.25,Moderate,0,Low,61.50998205402495,2
45,0,Research & Development,Research Scientist,3,No,Travel_Rarely,7,1,2,3,3,1,0,0,2.25,Moderate,0,Low,36.17152614957746,1
35,0,Research & Development,Research Scientist,1,No,Travel_Frequently,1,1,2,4,2,3,2,1,2.5,Moderate,1,Medium,16.1129507192139,2
36,1,Research & Development,Research Scientist,1,Yes,Travel_Rarely,9,3,4,1,2,1,0,0,2.5,Moderate,2,High,13.93370341761296,2
59,0,Sales,Sales Executive,2,No,Travel_Frequently,1,3,1,4,2,4,3,1,2.5,Moderate,1,Medium,13.93370341761296,2
29,0,Research & Development,Research Scientist,1,No,Travel_Rarely,2,2,3,4,3,5,4,0,3.0,High,0,Low,45.566894604818266,1
31,0,Research & Development,Research Scientist,1,No,Travel_Rarely,1,2,3,2,3,1,1,1,2.5,Moderate,0,Low,61.50998205402495,1
32,0,Research & Development,Research Scientist,2,No,Travel_Rarely,1,2,2,2,3,10,4,0,2.25,Moderate,0,Low,66.66666666666667,1
36,0,Research & Development,Laboratory Technician,1,No,Travel_Rarely,6,4,2,2,3,1,0,0,3.0,High,0,Low,36.17152614957746,1
31,0,Research & Development,Manufacturing Director,2,No,Travel_Rarely,8,4,3,4,3,11,7,1,3.5,High,0,Low,61.50998205402495,1
35,0,Sales,Sales Executive,2,No,Travel_Rarely,1,1,3,2,3,15,13,2,2.0,Moderate,0,Low,36.17152614957746,1
45,0,Research & Development,Research Director,3,Yes,Travel_Rarely,6,1,4,2,4,0,0,0,2.5,Moderate,1,Medium,0.0,2
37,0,Research & Development,Research Director,3,No,Travel_Rarely,7,3,1,1,4,5,2,0,2.0,Moderate,0,Low,0.0,1
46,0,Human Resources,Human Resources,2,Yes,Travel_Rarely,5,2,2,4,3,4,2,0,2.75,Moderate,1,Medium,36.17152614957746,2
30,0,Research & Development,Laboratory Technician,2,Yes,Travel_Rarely,1,4,4,3,2,10,8,3,3.25,High,2,High,36.17152614957746,2
35,0,Research & Development,Research Scientist,1,No,Travel_Rarely,1,3,2,1,3,6,4,0,2.0,Moderate,0,Low,36.17152614957746,1
55,0,Sales,Sales Executive,3,No,Travel_Rarely,1,4,1,4,3,1,0,1,3.0,High,0,Low,5.71909584179366,1
38,0,Research & Development,Research Scientist,2,Yes,Non-Travel,6,4,2,4,3,13,11,1,2.75,Moderate,1,Medium,36.17152614957746,1
34,0,Research & Development,Manufacturing Director,2,No,Travel_Rarely,1,2,1,3,3,5,2,1,2.25,Moderate,0,Low,36.17152614957746,1
56,0,Research & Development,Manufacturing Director,3,No,Travel_Rarely,7,4,4,1,2,6,4,0,2.5,Moderate,1,Medium,0.0,1
23,0,Sales,Sales Representative,1,No,Travel_Rarely,2,1,3,3,3,0,0,0,2.5,Moderate,0,Low,33.33333333333334,1
51,0,Research & Development,Laboratory Technician,1,No,Travel_Rarely,9,4,4,2,3,4,2,0,3.25,High,0,Low,36.17152614957746,1
30,0,Research & Development,Healthcare Representative,2,No,Travel_Rarely,2,4,3,1,3,11,10,10,2.5,Moderate,0,Low,16.1129507192139,1
46,1,Sales,Sales Executive,3,No,Travel_Rarely,9,4,3,4,3,9,8,4,3.25,High,0,Low,61.50998205402495,1
40,0,Research & Development,Healthcare Representative,4,No,Travel_Frequently,1,2,3,4,2,22,3,11,2.75,Moderate,1,Medium,36.17152614957746,2
51,0,Sales,Sales Executive,2,Yes,Travel_Rarely,21,4,3,4,1,10,7,1,3.5,High,2,High,5.71909584179366,2
30,0,Sales,Sales Executive,2,Yes,Travel_Rarely,4,2,3,2,2,11,8,2,2.25,Moderate,2,High,66.66666666666667,2
46,0,Research & Development,Healthcare Representative,3,Yes,Travel_Frequently,1,1,3,3,2,10,9,9,2.25,Moderate,2,High,36.17152614957746,3
32,0,Sales,Sales Executive,2,No,Travel_Rarely,6,3,2,1,3,11,8,5,2.25,Moderate,0,Low,36.17152614957746,1
54,0,Research & Development,Research Director,3,No,Travel_Rarely,2,3,1,1,1,4,3,0,2.0,Moderate,1,Medium,33.33333333333334,1
24,0,Sales,Sales Executive,2,No,Travel_Rarely,3,3,1,1,2,3,2,0,2.0,Moderate,1,Medium,36.17152614957746,1
28,0,Sales,Sales Executive,2,No,Non-Travel,4,3,2,2,4,5,4,0,2.5,Moderate,0,Low,36.17152614957746,0
58,0,Sales,Sales Executive,4,No,Travel_Rarely,10,3,4,3,2,37,10,1,3.25,High,1,Medium,45.566894604818266,1
44,0,Research & Development,Laboratory Technician,2,No,Non-Travel,23,2,2,3,4,3,2,1,2.5,Moderate,0,Low,36.17152614957746,0
37,1,Human Resources,Human Resources,1,Yes,Travel_Rarely,6,1,3,4,3,3,2,0,2.75,Moderate,1,Medium,16.1129507192139,2
32,0,Research & Development,Research Scientist,1,No,Travel_Rarely,1,1,4,4,3,1,0,0,3.0,High,0,Low,5.71909584179366,1
20,1,Research & Development,Laboratory Technician,1,Yes,Travel_Frequently,6,4,4,2,3,1,0,1,3.0,High,1,Medium,36.17152614957746,3
34,0,Research & Development,Research Scientist,2,No,Travel_Rarely,6,3,1,3,3,16,13,2,2.5,Moderate,0,Low,33.33333333333334,1
37,0,Research & Development,Healthcare Representative,2,No,Non-Travel,2,4,3,4,4,1,0,0,3.25,High,0,Low,66.66666666666667,0
59,0,Human Resources,Manager,5,No,Non-Travel,2,4,3,4,3,3,2,2,3.25,High,0,Low,61.50998205402495,0
50,0,Research & Development,Research Director,5,Yes,Travel_Frequently,1,2,1,1,2,8,3,0,1.75,Low,2,High,61.50998205402495,3
25,1,Sales,Sales Executive,2,Yes,Travel_Rarely,5,3,3,4,3,6,4,0,3.0,High,1,Medium,66.66666666666667,2
25,0,Research & Development,Research Scientist,1,No,Travel_Rarely,7,4,4,3,3,2,2,2,3.25,High,0,Low,61.50998205402495,1
22,0,Research & Development,Laboratory Technician,1,No,Travel_Rarely,15,4,2,3,3,0,0,0,3.0,High,0,Low,45.566894604818266,1
51,0,Research & Development,Healthcare Representative,3,No,Travel_Frequently,1,1,1,3,2,13,12,12,1.75,Low,1,Medium,36.17152614957746,2
34,1,Research & Development,Laboratory Technician,2,Yes,Travel_Frequently,7,3,1,4,3,9,7,0,2.25,Moderate,1,Medium,16.1129507192139,3
54,0,Human Resources,Manager,4,Yes,Non-Travel,26,4,4,3,3,5,3,4,3.75,High,1,Medium,61.50998205402495,1
24,0,Research & Development,Laboratory Technician,1,No,Travel_Rarely,18,3,2,3,3,5,3,1,2.75,Moderate,0,Low,66.66666666666667,1
34,0,Research & Development,Research Scientist,2,No,Travel_Rarely,6,2,3,3,3,1,0,0,2.5,Moderate,0,Low,66.66666666666667,1
37,0,Sales,Sales Executive,3,No,Travel_Rarely,3,4,3,1,3,5,3,1,2.75,Moderate,0,Low,16.1129507192139,1
34,0,Research & Development,Manager,3,No,Travel_Rarely,5,1,3,4,3,11,10,5,2.5,Moderate,0,Low,16.1129507192139,1
36,0,Sales,Sales Executive,3,No,Travel_Frequently,11,4,2,3,3,9,7,2,3.0,High,0,Low,45.566894604818266,2
36,0,Research & Development,Laboratory Technician,1,No,Travel_Rarely,3,4,1,1,3,1,0,0,2.25,Moderate,0,Low,0.0,1
43,0,Sales,Manager,4,Yes,Travel_Frequently,26,4,3,4,4,25,12,4,3.5,High,1,Medium,66.66666666666667,3
30,0,Research & Development,Research Scientist,1,No,Travel_Frequently,23,3,1,3,2,10,7,0,2.0,Moderate,1,Medium,36.17152614957746,2
33,0,Sales,Sales Executive,2,No,Non-Travel,22,2,3,1,4,7,7,0,2.25,Moderate,0,Low,13.93370341761296,0
56,1,Research & Development,Research Scientist,1,Yes,Travel_Rarely,14,2,2,1,3,5,4,4,2.0,Moderate,1,Medium,45.566894604818266,2
51,0,Research & Development,Research Director,5,No,Travel_Rarely,6,3,1,3,3,20,18,15,2.5,Moderate,0,Low,33.33333333333334,1
31,1,Sales,Sales Executive,2,Yes,Travel_Rarely,6,3,2,2,2,7,7,7,2.0,Moderate,2,High,66.66666666666667,2
26,0,Research & Development,Research Scientist,1,No,Travel_Rarely,6,2,3,3,2,5,4,4,2.5,Moderate,1,Medium,61.50998205402495,1
58,1,Research & Development,Healthcare Representative,3,No,Travel_Rarely,23,4,4,4,2,40,10,15,3.75,High,1,Medium,33.33333333333334,1
19,1,Sales,Sales Representative,1,Yes,Travel_Rarely,22,3,4,4,2,0,0,0,3.5,High,2,High,36.17152614957746,2
22,0,Research & Development,Laboratory Technician,1,No,Travel_Rarely,2,4,3,3,3,2,1,2,3.25,High,0,Low,66.66666666666667,1
49,0,Research & Development,Manufacturing Director,2,No,Travel_Rarely,20,1,3,3,2,15,11,5,2.5,Moderate,1,Medium,36.17152614957746,1
43,0,Research & Development,Research Scientist,1,No,Travel_Frequently,28,3,2,4,3,3,2,1,3.25,High,0,Low,45.566894604818266,2
50,0,Sales,Sales Executive,3,No,Travel_Frequently,12,4,3,4,3,2,2,2,3.5,High,0,Low,61.50998205402495,2
31,1,Sales,Sales Executive,2,Yes,Travel_Rarely,20,3,2,3,3,2,2,2,2.25,Moderate,1,Medium,66.66666666666667,2
41,0,Sales,Sales Executive,3,Yes,Travel_Rarely,9,3,3,3,3,9,7,0,3.0,High,1,Medium,100.0,2
26,0,Human Resources,Human Resources,1,No,Travel_Rarely,25,3,3,4,3,8,7,5,3.25,High,0,Low,66.66666666666667,1
36,0,Research & Development,Manufacturing Director,2,No,Travel_Rarely,6,2,2,4,3,3,2,0,2.75,Moderate,0,Low,36.17152614957746,1
51,1,Research & Development,Manufacturing Director,3,No,Travel_Frequently,8,4,1,4,3,4,2,0,2.5,Moderate,0,Low,5.71909584179366,2
39,0,Sales,Sales Executive,2,No,Travel_Rarely,4,3,4,3,4,15,11,5,3.0,High,0,Low,61.50998205402495,1
25,0,Sales,Sales Executive,2,No,Travel_Rarely,28,3,1,4,3,2,2,2,2.5,Moderate,0,Low,16.1129507192139,1
30,0,Human Resources,Human Resources,2,Yes,Travel_Rarely,9,4,3,4,1,11,9,4,3.5,High,2,High,5.71909584179366,2
32,1,Research & Development,Laboratory Technician,1,No,Travel_Rarely,9,1,1,1,4,5,4,0,1.5,Low,0,Low,0.0,1
45,0,Research & Development,Research Scientist,1,No,Travel_Rarely,29,4,3,2,2,6,5,0,3.0,High,1,Medium,36.17152614957746,1
38,0,Research & Development,Research Scientist,2,Yes,Travel_Rarely,3,3,4,2,3,3,2,2,3.0,High,1,Medium,45.566894604818266,2
30,0,Research & Development,Research Scientist,1,No,Travel_Rarely,18,3,1,3,2,5,4,0,2.5,Moderate,1,Medium,36.17152614957746,1
32,0,Sales,Sales Executive,2,No,Travel_Frequently,9,4,4,4,4,8,7,0,3.25,High,0,Low,100.0,2
30,0,Research & Development,Research Scientist,1,No,Travel_Rarely,5,1,4,4,3,3,2,2,3.0,High,0,Low,5.71909584179366,1
30,0,Research & Development,Laboratory Technician,1,No,Travel_Rarely,2,4,2,4,3,5,3,1,3.0,High,0,Low,36.17152614957746,1
41,0,Research & Development,Manager,4,No,Travel_Frequently,10,1,4,2,2,7,6,7,2.25,Moderate,1,Medium,16.1129507192139,2
41,0,Research & Development,Laboratory Technician,1,No,Travel_Rarely,9,1,3,4,3,5,0,1,2.75,Moderate,0,Low,16.1129507192139,1
19,0,Research & Development,Laboratory Technician,1,No,Travel_Rarely,3,2,2,4,3,1,0,0,2.75,Moderate,0,Low,36.17152614957746,1
40,0,Research & Development,Research Scientist,2,No,Travel_Frequently,26,2,2,1,3,20,7,2,2.0,Moderate,0,Low,45.566894604818266,2
35,0,Sales,Sales Executive,3,No,Travel_Rarely,1,2,3,1,3,10,8,0,2.25,Moderate,0,Low,36.17152614957746,1
53,0,Sales,Sales Representative,2,Yes,Travel_Rarely,6,3,2,4,1,7,7,4,3.0,High,2,High,13.93370341761296,2
45,0,Research & Development,Laboratory Technician,2,No,Travel_Rarely,9,2,2,3,1,17,9,0,2.5,Moderate,1,Medium,45.566894604818266,1
32,0,Sales,Sales Executive,3,No,Travel_Frequently,8,4,2,4,3,9,8,3,3.25,High,0,Low,36.17152614957746,2
29,0,Research & Development,Manufacturing Director,2,No,Non-Travel,1,3,4,1,3,10,7,0,2.75,Moderate,0,Low,16.1129507192139,0
51,0,Research & Development,Manufacturing Director,2,No,Travel_Rarely,7,3,2,3,3,1,0,0,2.5,Moderate,0,Low,66.66666666666667,1
58,0,Research & Development,Research Scientist,1,Yes,Travel_Rarely,9,2,2,2,2,1,0,0,2.0,Moderate,2,High,100.0,2
40,0,Sales,Sales Executive,3,No,Travel_Rarely,4,4,3,1,2,12,11,2,2.5,Moderate,1,Medium,13.93370341761296,1
34,0,Sales,Sales Representative,1,No,Travel_Frequently,2,3,3,4,3,4,3,1,3.25,High,0,Low,66.66666666666667,2
22,0,Research & Development,Research Scientist,1,No,Travel_Rarely,19,4,3,1,3,2,2,2,2.75,Moderate,0,Low,16.1129507192139,1
27,0,Research & Development,Research Scientist,1,No,Non-Travel,9,2,4,4,1,2,2,2,3.25,High,1,Medium,0.0,0
28,0,Research & Development,Research Scientist,1,No,Travel_Rarely,21,4,3,3,1,5,2,0,3.25,High,1,Medium,16.1129507192139,1
57,0,Research & Development,Healthcare Representative,3,Yes,Travel_Rarely,24,4,3,2,1,5,3,1,3.25,High,2,High,13.93370341761296,2
27,0,Research & Development,Research Scientist,1,Yes,Non-Travel,3,3,3,4,2,1,1,0,3.0,High,2,High,45.566894604818266,1
50,0,Research & Development,Manager,5,No,Travel_Rarely,11,2,3,2,3,5,4,4,2.5,Moderate,0,Low,61.50998205402495,1
41,0,Research & Development,Research Scientist,1,No,Travel_Rarely,14,3,1,1,3,9,8,1,2.0,Moderate,0,Low,23.019964108049905,1
30,0,Sales,Sales Executive,3,No,Travel_Rarely,5,4,2,3,3,10,9,7,3.0,High,0,Low,45.566894604818266,1
38,0,Sales,Sales Executive,2,No,Travel_Rarely,1,4,1,3,4,8,3,0,2.5,Moderate,0,Low,5.71909584179366,1
32,0,Research & Development,Research Scientist,1,No,Travel_Rarely,6,3,3,1,3,5,4,1,2.5,Moderate,0,Low,33.33333333333334,1
27,0,Research & Development,Research Scientist,1,Yes,Travel_Rarely,17,2,3,4,2,5,2,1,3.0,High,2,High,36.17152614957746,2
19,1,Sales,Sales Representative,1,No,Travel_Frequently,1,1,3,1,4,0,0,0,1.5,Low,0,Low,0.0,2
36,0,Research & Development,Laboratory Technician,1,No,Travel_Frequently,3,2,4,3,2,8,7,7,3.0,High,1,Medium,36.17152614957746,2
30,0,Research & Development,Laboratory Technician,2,No,Non-Travel,9,1,3,3,3,12,9,6,2.5,Moderate,0,Low,33.33333333333334,0
45,0,Sales,Sales Executive,2,Yes,Travel_Rarely,4,1,3,1,4,5,4,0,2.0,Moderate,1,Medium,0.0,2
56,0,Research & Development,Research Scientist,1,Yes,Travel_Rarely,8,1,3,3,3,2,2,2,2.5,Moderate,1,Medium,33.33333333333334,2
33,0,Research & Development,Research Scientist,1,No,Travel_Rarely,2,4,3,1,4,3,1,0,2.75,Moderate,0,Low,5.71909584179366,1
19,1,Research & Development,Laboratory Technician,1,No,Travel_Rarely,2,4,2,3,2,1,0,1,2.75,Moderate,1,Medium,36.17152614957746,1
46,0,Sales,Sales Executive,3,No,Travel_Rarely,1,1,2,3,3,24,13,15,2.25,Moderate,0,Low,36.17152614957746,1
38,0,Research & Development,Laboratory Technician,1,No,Travel_Rarely,9,4,3,3,3,2,2,2,3.25,High,0,Low,66.66666666666667,1
31,0,Research & Development,Research Scientist,1,Yes,Travel_Rarely,12,4,3,3,3,4,2,0,3.25,High,1,Medium,66.66666666666667,2
34,0,Research & Development,Research Scientist,1,No,Travel_Rarely,27,2,4,4,3,3,2,1,3.25,High,0,Low,36.17152614957746,1
41,1,Sales,Sales Representative,1,Yes,Travel_Rarely,20,2,2,4,2,4,3,0,2.75,Moderate,2,High,33.33333333333334,2
50,0,Research & Development,Laboratory Technician,1,No,Travel_Rarely,1,3,3,4,2,3,2,0,3.0,High,1,Medium,45.566894604818266,1
53,0,Research & Development,Manufacturing Director,2,No,Travel_Rarely,13,1,4,3,3,4,2,1,3.0,High,0,Low,16.1129507192139,1
33,0,Research & Development,Research Scientist,1,No,Travel_Rarely,14,2,4,4,3,8,7,1,3.25,High,0,Low,36.17152614957746,1
40,0,Research & Development,Manager,5,No,Travel_Rarely,4,3,4,2,3,20,8,9,3.0,High,0,Low,45.566894604818266,1
55,0,Research & Development,Research Director,5,No,Travel_Rarely,14,2,3,4,3,24,15,2,3.25,High,0,Low,45.566894604818266,1
34,0,Research & Development,Manufacturing Director,2,No,Travel_Frequently,2,3,4,3,2,10,9,1,3.0,High,1,Medium,45.566894604818266,2
51,0,Research & Development,Healthcare Representative,4,No,Travel_Rarely,3,2,4,3,3,7,7,1,3.0,High,0,Low,45.566894604818266,1
52,0,Research & Development,Manager,5,No,Travel_Rarely,1,3,3,1,3,33,18,11,2.25,Moderate,0,Low,33.33333333333334,1
27,0,Research & Development,Research Scientist,1,No,Travel_Rarely,9,2,4,4,2,7,7,0,3.25,High,1,Medium,23.019964108049905,1
35,1,Research & Development,Manufacturing Director,2,Yes,Travel_Rarely,23,3,2,1,3,1,0,0,2.0,Moderate,1,Medium,36.17152614957746,2
43,0,Research & Development,Research Scientist,1,No,Non-Travel,7,4,4,4,4,5,4,2,4.0,High,0,Low,100.0,0
45,0,Research & Development,Manager,4,No,Non-Travel,2,4,1,4,3,20,8,11,2.75,Moderate,0,Low,5.71909584179366,0
37,0,Research & Development,Research Scientist,1,Yes,Travel_Rarely,21,1,2,1,2,8,7,1,2.0,Moderate,2,High,61.50998205402495,2
35,0,Research & Development,Laboratory Technician,2,No,Travel_Frequently,2,2,2,4,3,6,2,1,2.75,Moderate,0,Low,36.17152614957746,2
